"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"VM01_01";"VM01_04";"VM01_03";"VM01_05";"VM01_07";"VM01_11";"VM01_27";"VM01_13";"VM01_14";"VM01_15";"VM01_32";"VM01_16";"VM01_17";"VM01_18";"VM01_19";"VM01_20";"VM01_25";"VM01_21";"VM01_23";"VM01_31";"VM01_28";"VM01_29";"VM36_01";"VM36_04";"VM36_03";"VM36_05";"VM36_07";"VM36_11";"VM36_27";"VM36_13";"VM36_14";"VM36_15";"VM36_32";"VM36_16";"VM36_17";"VM36_18";"VM36_19";"VM36_20";"VM36_25";"VM36_21";"VM36_23";"VM36_31";"VM36_28";"VM36_29";"VM37_01";"VM37_04";"VM37_03";"VM37_05";"VM37_07";"VM37_11";"VM37_27";"VM37_13";"VM37_14";"VM37_15";"VM37_32";"VM37_16";"VM37_17";"VM37_18";"VM37_19";"VM37_20";"VM37_25";"VM37_21";"VM37_23";"VM37_31";"VM37_28";"VM37_29";"VM38_01";"VM38_04";"VM38_03";"VM38_05";"VM38_07";"VM38_11";"VM38_27";"VM38_13";"VM38_14";"VM38_15";"VM38_32";"VM38_16";"VM38_17";"VM38_18";"VM38_19";"VM38_20";"VM38_25";"VM38_21";"VM38_23";"VM38_31";"VM38_28";"VM38_29";"VM39_01";"VM39_04";"VM39_03";"VM39_05";"VM39_07";"VM39_11";"VM39_27";"VM39_13";"VM39_14";"VM39_15";"VM39_32";"VM39_16";"VM39_17";"VM39_18";"VM39_19";"VM39_20";"VM39_25";"VM39_21";"VM39_23";"VM39_31";"VM39_28";"VM39_29";"VM40_01";"VM40_04";"VM40_03";"VM40_05";"VM40_07";"VM40_11";"VM40_27";"VM40_13";"VM40_14";"VM40_15";"VM40_32";"VM40_16";"VM40_17";"VM40_18";"VM40_19";"VM40_20";"VM40_25";"VM40_21";"VM40_23";"VM40_31";"VM40_28";"VM40_29";"VM41_01";"VM41_04";"VM41_03";"VM41_05";"VM41_07";"VM41_11";"VM41_27";"VM41_13";"VM41_14";"VM41_15";"VM41_32";"VM41_16";"VM41_17";"VM41_18";"VM41_19";"VM41_20";"VM41_25";"VM41_21";"VM41_23";"VM41_31";"VM41_28";"VM41_29";"VM42_01";"VM42_04";"VM42_03";"VM42_05";"VM42_07";"VM42_11";"VM42_27";"VM42_13";"VM42_14";"VM42_15";"VM42_32";"VM42_16";"VM42_17";"VM42_18";"VM42_19";"VM42_20";"VM42_25";"VM42_21";"VM42_23";"VM42_31";"VM42_28";"VM42_29";"VM43_01";"VM43_04";"VM43_03";"VM43_05";"VM43_07";"VM43_11";"VM43_27";"VM43_13";"VM43_14";"VM43_15";"VM43_32";"VM43_16";"VM43_17";"VM43_18";"VM43_19";"VM43_20";"VM43_25";"VM43_21";"VM43_23";"VM43_31";"VM43_28";"VM43_29";"VM44_01";"VM44_04";"VM44_03";"VM44_05";"VM44_07";"VM44_11";"VM44_27";"VM44_13";"VM44_14";"VM44_15";"VM44_32";"VM44_16";"VM44_17";"VM44_18";"VM44_19";"VM44_20";"VM44_25";"VM44_21";"VM44_23";"VM44_31";"VM44_28";"VM44_29";"VM45_01";"VM45_04";"VM45_03";"VM45_05";"VM45_07";"VM45_11";"VM45_27";"VM45_13";"VM45_14";"VM45_15";"VM45_32";"VM45_16";"VM45_17";"VM45_18";"VM45_19";"VM45_20";"VM45_25";"VM45_21";"VM45_23";"VM45_31";"VM45_28";"VM45_29";"VM46_01";"VM46_04";"VM46_03";"VM46_05";"VM46_07";"VM46_11";"VM46_27";"VM46_13";"VM46_14";"VM46_15";"VM46_32";"VM46_16";"VM46_17";"VM46_18";"VM46_19";"VM46_20";"VM46_25";"VM46_21";"VM46_23";"VM46_31";"VM46_28";"VM46_29";"VM47_01";"VM47_04";"VM47_03";"VM47_05";"VM47_07";"VM47_11";"VM47_27";"VM47_13";"VM47_14";"VM47_15";"VM47_32";"VM47_16";"VM47_17";"VM47_18";"VM47_19";"VM47_20";"VM47_25";"VM47_21";"VM47_23";"VM47_31";"VM47_28";"VM47_29";"VM48_01";"VM48_04";"VM48_03";"VM48_05";"VM48_07";"VM48_11";"VM48_27";"VM48_13";"VM48_14";"VM48_15";"VM48_32";"VM48_16";"VM48_17";"VM48_18";"VM48_19";"VM48_20";"VM48_25";"VM48_21";"VM48_23";"VM48_31";"VM48_28";"VM48_29";"VM15";"VM16";"VM16_01";"VM16_02";"VM16_03";"VM16_04";"VM17";"VM18_01";"VM21";"VM22";"VM23";"VM24";"VM25";"VM26";"VM27";"VM28";"VM29";"VM30";"VM31";"VM32";"VM33";"VM34";"VM35";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"TIME013";"TIME014";"TIME015";"TIME016";"TIME017";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
g";"Polaritätsprofil S6.2: zittrig/stabil";"Polaritätsprofil S6.2: weich/hart";"Polaritätsprofil S6.2: behaucht/unbehaucht";"Polaritätsprofil S6.2: gewagt/bodenständig";"Polaritätsprofil S6.2: monoton/abwechslungsreich";"Polaritätsprofil S6.2: einfühlsam/unsensibel";"Polaritätsprofil S6.2: tief/hoch";"Polaritätsprofil S6.2: distanziert/nahbar";"Polaritätsprofil S6.2: beruhigend/aufregend";"Polaritätsprofil S7.1: leise/laut";"Polaritätsprofil S7.1: deutlich/undeutlich";"Polaritätsprofil S7.1: energisch/antriebslos";"Polaritätsprofil S7.1: langsam/schnell";"Polaritätsprofil S7.1: eindringlich/zurückhaltend";"Polaritätsprofil S7.1: emotional/rational";"Polaritätsprofil S7.1: aufrichtig/unaufrichtig";"Polaritätsprofil S7.1: alt/jung";"Polaritätsprofil S7.1: modern/traditionell";"Polaritätsprofil S7.1: ruhig/temperamentvoll";"Polaritätsprofil S7.1: wohlklingend/knarrig";"Polaritätsprofil S7.1: angespannt/entspannt";"Polaritätsprofil S7.1: sicherheitsbedacht/abenteuerlustig";"Polaritätsprofil S7.1: zittrig/stabil";"Polaritätsprofil S7.1: weich/hart";"Polaritätsprofil S7.1: behaucht/unbehaucht";"Polaritätsprofil S7.1: gewagt/bodenständig";"Polaritätsprofil S7.1: monoton/abwechslungsreich";"Polaritätsprofil S7.1: einfühlsam/unsensibel";"Polaritätsprofil S7.1: tief/hoch";"Polaritätsprofil S7.1: distanziert/nahbar";"Polaritätsprofil S7.1: beruhigend/aufregend";"Polaritätsprofil S7.2: leise/laut";"Polaritätsprofil S7.2: deutlich/undeutlich";"Polaritätsprofil S7.2: energisch/antriebslos";"Polaritätsprofil S7.2: langsam/schnell";"Polaritätsprofil S7.2: eindringlich/zurückhaltend";"Polaritätsprofil S7.2: emotional/rational";"Polaritätsprofil S7.2: aufrichtig/unaufrichtig";"Polaritätsprofil S7.2: alt/jung";"Polaritätsprofil S7.2: modern/traditionell";"Polaritätsprofil S7.2: ruhig/temperamentvoll";"Polaritätsprofil S7.2: wohlklingend/knarrig";"Polaritätsprofil S7.2: angespannt/entspannt";"Polaritätsprofil S7.2: sicherheitsbedacht/abenteuerlustig";"Polaritätsprofil S7.2: zittrig/stabil";"Polaritätsprofil S7.2: weich/hart";"Polaritätsprofil S7.2: behaucht/unbehaucht";"Polaritätsprofil S7.2: gewagt/bodenständig";"Polaritätsprofil S7.2: monoton/abwechslungsreich";"Polaritätsprofil S7.2: einfühlsam/unsensibel";"Polaritätsprofil S7.2: tief/hoch";"Polaritätsprofil S7.2: distanziert/nahbar";"Polaritätsprofil S7.2: beruhigend/aufregend";"Hörbeeinträchtigung";"Vorkenntnisse: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen";"Vorkenntnisse: Fachbezogenes Studium";"Vorkenntnisse: Stimmbildungstraining";"Vorkenntnisse: Schauspiel- und/oder Sprechausbildung";"Vorkenntnisse: Nein, nichts dergleichen";"Geschlecht";"Alter: [01]";"Muttersprache";"Zusatzfrage S1.1";"Zusatzfrage S1.2";"Zusatzfrage S2.1";"Zusatzfrage S2.2";"Zusatzfrage S3.1";"Zusatzfrage S3.2";"Zusatzfrage S4.1";"Zusatzfrage S4.2";"Zusatzfrage S5.1";"Zusatzfrage S5.2";"Zusatzfrage S6.1";"Zusatzfrage S6.2";"Zusatzfrage S7.1";"Zusatzfrage S7.2";"Verweildauer Seite 1";"Verweildauer Seite 2";"Verweildauer Seite 3";"Verweildauer Seite 4";"Verweildauer Seite 5";"Verweildauer Seite 6";"Verweildauer Seite 7";"Verweildauer Seite 8";"Verweildauer Seite 9";"Verweildauer Seite 10";"Verweildauer Seite 11";"Verweildauer Seite 12";"Verweildauer Seite 13";"Verweildauer Seite 14";"Verweildauer Seite 15";"Verweildauer Seite 16";"Verweildauer Seite 17";"Verweildauer gesamt (ohne Ausreißer)";"Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten)";"Zeitpunkt als der Datensatz das letzte mal geändert wurde";"Wurde die Befragung abgeschlossen (letzte Seite erreicht)?";"Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?";"Seite, die der Teilnehmer zuletzt bearbeitet hat";"Letzte Seite, die im Fragebogen bearbeitet wurde";"Anteil fehlender Antworten in Prozent";"Anteil fehlender Antworten (gewichtet nach Relevanz)";"Ausfüll-Geschwindigkeit (relativ)"
51;;;"VM";"interview";2024-01-05 19:10:12;3;2;2;2;4;5;2;4;3;2;2;3;3;4;2;4;4;4;2;4;2;2;3;2;2;4;2;2;2;5;1;4;2;2;4;3;3;4;2;4;3;5;4;5;4;1;3;2;1;4;1;2;5;1;1;4;1;5;2;4;5;2;2;4;4;1;4;1;2;2;1;2;2;2;5;2;2;3;1;5;3;5;5;3;2;3;3;2;4;2;3;2;3;3;3;2;4;4;3;2;4;2;3;4;2;3;3;2;3;4;2;4;5;3;4;4;4;2;3;2;4;3;3;2;4;4;2;1;5;2;1;3;2;1;4;1;2;3;1;3;4;2;2;4;1;4;2;4;4;3;2;4;3;2;4;4;2;3;2;3;2;2;3;3;2;4;3;4;2;4;4;4;3;4;3;4;2;1;3;1;1;1;1;2;5;1;2;5;1;5;2;4;5;2;2;4;4;1;2;2;1;5;2;3;3;4;2;4;3;2;4;4;4;4;2;4;3;4;3;4;3;4;5;2;3;5;4;2;5;1;4;3;1;3;4;5;5;1;4;1;1;2;4;1;3;2;2;4;3;2;4;2;4;2;2;4;5;4;4;2;4;2;2;3;3;4;4;2;4;3;3;1;5;1;4;4;1;3;3;2;4;2;3;1;3;3;4;4;2;4;2;2;3;3;2;4;4;2;4;3;2;4;2;4;4;4;3;4;2;1;1;1;1;2;2;"36";1;1;2;1;1;2;2;1;2;1;2;1;1;1;2;3;140;64;385;105;84;96;124;93;84;85;95;78;533;72;79;57;1339;;2024-01-05 19:46:29;1;0;17;17;0;0;0,81
53;;;"VM";"interview";2024-01-05 20:07:08;3;1;3;3;5;1;2;5;1;2;1;5;2;5;2;4;5;4;2;4;5;2;4;2;2;5;2;5;4;5;1;4;4;2;4;5;4;5;2;2;5;4;2;4;2;1;3;3;1;2;1;4;4;1;1;3;1;5;1;5;5;5;2;4;4;1;3;1;2;3;1;5;2;3;4;1;1;4;2;5;4;5;5;1;3;2;2;2;2;4;3;4;3;5;4;1;4;1;2;5;1;1;3;2;5;3;2;2;4;2;3;4;4;2;4;4;4;4;2;1;2;4;4;4;3;4;2;4;5;3;2;4;2;3;5;1;5;5;3;4;4;1;2;5;3;5;2;3;4;1;4;4;2;2;3;1;1;4;2;4;4;4;2;2;3;2;4;5;2;5;2;4;5;4;2;4;1;4;3;2;4;2;1;3;3;1;1;5;1;5;1;1;5;2;1;4;5;1;5;1;1;5;2;3;4;5;1;4;4;2;4;5;4;5;2;2;5;4;2;5;2;1;4;2;5;5;1;2;4;1;1;5;1;5;2;4;5;1;4;1;3;1;5;1;1;4;1;5;2;2;2;5;5;1;5;5;4;5;2;4;5;2;2;5;2;4;4;1;5;2;1;1;4;1;1;5;1;3;1;1;4;2;1;3;5;1;5;1;1;5;1;2;2;3;1;5;3;1;5;2;3;5;1;5;4;4;3;5;2;1;1;1;1;2;2;"31";1;1;2;1;1;1;2;2;2;1;2;1;2;1;2;250;16;26;610;170;203;135;302;279;59;195;199;252;148;156;60;55;1150;;2024-01-05 20:59:03;1;0;17;17;0;0;0,58
55;;;"VM";"interview";2024-01-06 23:41:57;3;3;3;4;4;3;3;5;3;2;3;3;1;1;1;1;4;4;2;4;4;3;4;1;2;4;1;3;5;5;2;3;5;1;3;2;4;4;3;4;4;4;3;5;3;1;3;2;2;3;3;4;3;2;2;4;2;4;2;2;5;2;2;2;4;2;3;1;2;4;2;2;4;3;3;4;3;2;3;4;3;3;3;3;3;3;3;3;3;3;4;3;4;2;4;3;3;3;4;2;3;2;3;4;3;2;3;3;3;4;3;1;3;4;2;3;4;3;3;3;4;2;3;3;3;4;3;3;4;3;3;3;3;1;3;2;3;3;3;5;3;3;2;3;3;4;2;2;4;3;3;3;4;2;4;1;2;3;1;2;4;4;2;4;4;2;4;4;3;4;2;4;4;4;2;4;2;1;2;3;4;2;2;4;2;2;2;4;2;4;2;2;4;4;2;3;4;2;4;1;2;5;1;2;4;5;2;5;4;1;4;3;4;5;1;4;5;4;3;5;3;1;4;3;4;3;3;3;3;2;2;4;2;5;2;2;5;1;2;2;4;2;4;3;2;3;1;2;5;3;2;4;5;1;4;2;4;5;1;4;5;3;2;4;2;4;4;3;4;3;3;2;4;2;2;4;2;4;2;2;5;2;2;3;4;2;5;4;2;4;2;2;5;3;3;5;5;2;4;3;4;5;1;4;5;4;2;5;2;1;1;1;1;2;1;"46";1;1;2;1;1;2;2;1;2;1;2;1;2;1;2;11;27;55;170;85;101;81;75;140;102;63;80;110;59;68;77;74;1378;;2024-01-07 00:04:55;1;0;17;17;0;0;0,85
57;;;"VM";"interview";2024-01-06 23:55:51;3;1;2;3;1;4;2;5;2;4;1;5;3;5;2;3;3;4;2;3;4;2;4;2;2;3;2;4;3;4;3;4;2;3;3;4;3;3;3;4;3;4;4;3;3;1;2;2;2;3;2;4;3;2;2;4;3;4;1;3;3;4;2;4;4;2;4;2;2;2;1;2;2;3;3;2;2;4;3;4;2;3;3;4;2;3;4;2;2;2;3;1;2;3;2;4;3;1;2;4;3;4;2;3;3;4;2;2;4;2;4;2;2;3;2;3;2;4;2;3;2;4;3;4;3;3;3;4;3;2;3;3;4;2;2;3;2;4;3;4;3;2;2;4;3;4;3;3;3;4;2;4;4;3;4;2;2;4;1;4;3;4;3;2;3;2;3;4;3;3;3;4;4;4;2;3;3;2;2;2;2;2;2;3;3;2;2;4;3;4;2;3;3;4;2;4;3;2;5;2;1;5;1;4;3;4;4;4;3;1;3;4;5;3;2;4;5;4;1;3;2;2;3;2;3;2;3;2;3;2;2;4;3;4;2;3;3;4;2;2;4;3;5;1;1;5;1;5;3;4;3;4;3;2;3;4;4;3;3;2;4;2;2;4;3;2;3;1;1;1;2;1;3;2;2;4;3;4;3;2;3;4;2;1;4;2;5;1;1;5;1;5;4;3;3;4;4;2;3;4;5;3;3;4;4;3;2;4;1;1;1;1;1;2;1;"75";1;1;2;1;1;1;1;1;2;1;2;1;2;1;2;15;49;47;143;117;101;127;125;117;97;100;103;141;87;94;80;75;1545;;2024-01-07 00:22:49;1;0;17;17;0;0;0,68
58;;;"VM";"interview";2024-01-06 23:56:49;4;3;3;2;3;3;3;4;2;2;4;2;2;3;3;2;4;2;2;3;4;2;3;3;2;4;1;2;5;4;2;4;4;1;5;2;3;4;2;4;5;3;2;3;3;1;2;2;3;2;1;3;3;1;1;4;1;5;3;3;4;3;2;3;4;2;3;1;2;3;1;2;3;2;4;2;3;2;2;4;4;2;4;2;3;2;3;3;3;4;5;2;4;2;3;4;2;2;4;4;2;2;2;2;4;1;3;3;4;2;3;4;3;4;2;3;4;4;2;3;4;1;3;1;2;3;3;1;3;3;3;3;3;2;3;2;2;3;3;4;2;3;3;2;3;4;3;2;5;1;3;3;3;2;3;3;2;3;2;3;3;4;2;4;3;2;4;2;4;3;3;3;4;4;2;3;2;1;3;2;4;1;1;3;3;1;1;5;2;5;1;1;4;3;1;3;5;1;4;4;1;4;1;1;5;4;1;4;4;1;5;3;4;3;2;3;4;4;3;5;3;1;5;1;4;5;2;2;5;1;3;3;1;2;2;3;5;1;2;3;2;2;3;1;2;3;1;4;4;3;3;3;4;1;2;3;5;5;3;1;5;3;1;4;3;2;3;1;4;1;1;1;5;1;1;5;1;5;3;1;5;2;1;2;5;1;4;3;1;4;2;3;3;2;3;4;3;2;4;4;5;4;3;4;3;3;3;4;2;1;1;2;1;1;2;"36";1;1;2;1;1;1;2;1;2;1;2;1;2;1;2;28;16;11;111;65;60;66;72;64;56;64;76;55;64;55;70;54;987;;2024-01-07 00:13:16;1;0;17;17;0;0;1,14
59;;;"VM";"interview";2024-01-07 00:28:21;3;1;3;2;4;3;3;5;2;1;2;5;3;5;1;3;5;3;3;4;3;1;5;2;1;5;1;5;5;5;1;5;4;5;5;3;3;3;1;3;5;5;2;3;2;1;3;1;1;1;1;3;3;1;1;5;3;5;3;3;3;3;2;3;3;1;2;1;1;3;1;5;2;5;5;3;3;5;1;5;5;4;3;4;4;2;2;2;3;1;4;1;4;5;5;1;3;3;1;4;2;5;5;3;3;3;3;1;2;3;3;3;3;2;4;4;4;3;4;1;1;5;1;5;3;3;3;3;2;1;5;1;2;4;5;1;4;5;5;5;4;1;3;4;3;5;1;3;4;2;3;4;3;2;5;1;1;4;2;4;5;5;1;4;3;4;5;5;3;3;3;3;4;4;3;3;3;1;1;3;1;3;3;5;1;1;1;5;3;5;1;3;3;5;2;4;4;3;3;1;1;5;3;2;5;5;1;5;3;5;5;5;3;3;2;4;4;5;1;5;3;1;1;1;3;5;1;3;3;1;1;5;2;5;5;3;5;3;3;1;3;1;5;1;1;5;1;5;5;1;1;5;4;1;5;3;5;3;1;4;5;1;2;3;3;4;5;1;5;5;3;1;4;1;5;5;1;1;3;3;5;1;5;1;1;1;5;5;1;5;1;5;5;1;1;5;5;1;3;1;5;3;1;3;5;1;3;5;2;1;1;1;1;2;2;"70";1;1;2;1;1;2;1;2;1;1;2;1;2;1;2;38;39;8;188;107;68;61;60;63;72;76;76;67;71;61;59;58;1172;;2024-01-07 00:47:53;1;0;17;17;0;0;1
62;;;"VM";"interview";2024-01-07 02:17:50;3;1;2;3;3;3;2;4;1;3;1;5;4;5;1;5;4;3;2;3;4;2;4;2;2;4;2;2;3;4;3;4;4;2;3;4;4;3;3;3;4;4;2;4;1;1;3;3;3;3;2;4;1;1;1;5;3;5;1;2;4;3;2;3;4;1;3;1;2;4;2;2;2;4;2;2;1;5;3;5;2;3;4;3;3;3;4;2;3;4;4;2;4;4;4;2;4;3;5;3;3;1;2;2;3;2;3;3;2;3;3;2;2;4;3;3;3;4;2;3;3;3;3;4;4;4;3;4;2;3;4;2;3;2;3;3;3;4;4;4;4;3;3;4;3;4;2;3;4;2;4;3;2;2;3;2;2;3;2;3;3;4;2;3;3;3;3;4;3;3;4;2;3;3;3;3;2;2;3;3;2;2;2;4;1;1;1;5;3;4;2;2;4;4;2;3;4;2;4;4;2;4;2;2;3;4;3;4;4;2;3;3;4;3;2;4;4;3;4;4;3;2;4;2;3;4;4;4;4;2;3;4;3;5;3;3;4;2;3;2;2;2;5;2;1;3;2;2;4;2;4;4;4;2;3;3;4;5;3;2;4;3;2;4;3;5;3;3;4;3;4;3;4;2;5;3;3;2;3;2;3;3;3;3;3;3;5;4;1;4;2;2;4;3;4;4;5;1;3;2;4;2;3;3;4;4;2;4;2;1;1;1;1;2;2;"48";1;1;2;1;1;1;1;1;1;1;2;1;2;1;2;8;56;4;125;87;62;58;62;69;58;55;55;63;71;62;47;54;996;;2024-01-07 02:34:26;1;0;17;17;0;0;1,25
66;;;"VM";"interview";2024-01-07 12:53:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;1;1;1;1;"32";1;;;;;;;;;;;;;;;3;31;972;29;;;;;;;;;;;;;;76;;2024-01-07 13:10:19;0;0;4;4;0;0;1,77
70;;;"VM";"interview";2024-01-07 13:13:00;3;1;2;4;2;4;2;5;1;4;2;3;5;5;2;3;2;4;2;3;4;4;3;4;5;5;2;3;5;5;3;4;5;1;4;1;3;2;3;1;5;5;1;3;2;1;3;2;4;2;1;2;4;1;1;5;1;5;4;2;5;4;1;1;5;1;4;1;1;4;1;5;1;1;5;1;1;5;1;5;5;3;5;2;1;3;5;1;5;2;5;1;5;5;5;2;4;1;5;1;1;1;5;1;3;1;5;1;1;3;5;5;5;5;1;3;5;1;5;3;5;1;3;1;5;1;1;1;5;1;1;3;3;2;4;1;5;5;2;3;3;1;2;4;2;4;4;3;3;4;2;3;3;3;2;3;2;4;3;3;3;4;2;3;3;5;5;5;2;4;3;3;3;3;4;4;3;2;3;1;3;5;1;1;5;4;2;4;1;5;5;2;5;1;4;2;3;2;4;2;1;5;1;1;2;5;1;5;3;1;5;4;5;3;1;5;5;3;5;5;3;1;5;1;5;5;5;1;5;1;5;1;1;1;5;1;5;1;5;1;1;3;5;3;1;5;1;1;5;1;2;5;5;1;3;1;5;1;3;4;5;1;1;3;3;5;5;1;5;5;5;1;5;1;5;1;1;1;5;1;1;1;5;1;1;2;5;4;1;5;1;1;5;5;2;4;5;1;5;1;2;4;1;5;5;5;1;5;2;1;2;1;1;1;1;"33";1;2;2;1;1;1;1;1;1;1;2;1;2;1;2;77;24;23;140;88;87;205;88;91;85;54;66;59;49;63;61;57;1120;;2024-01-07 13:34:58;1;0;17;17;0;0;0,92
72;;;"VM";"interview";2024-01-07 13:25:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;1;1;2;1;"35";1;;;;;;;;;;;;;;;7;37;;;;;;;;;;;;;;;;44;;2024-01-07 13:26:04;0;0;2;2;0;0;1,37
74;;;"VM";"interview";2024-01-07 14:03:37;3;2;2;4;2;1;1;4;1;3;1;5;5;5;1;3;3;5;1;4;5;4;4;1;1;4;1;4;3;4;2;4;4;2;5;3;4;5;2;4;4;3;2;4;3;2;2;2;2;1;1;3;3;1;1;5;1;5;3;4;4;2;1;3;4;1;3;4;2;3;2;3;3;3;4;2;3;3;1;4;2;2;5;2;2;3;3;2;3;5;3;3;5;2;3;3;3;2;3;4;3;2;2;4;3;4;2;4;4;3;3;4;2;4;2;3;4;4;2;4;4;2;4;2;3;2;2;4;3;3;3;4;2;2;4;2;4;2;1;4;4;1;1;5;2;4;1;2;4;2;1;3;4;1;3;2;1;4;2;2;2;4;1;4;2;3;5;4;2;4;2;5;2;4;4;2;2;2;3;2;5;2;1;4;3;1;1;5;2;5;1;1;5;2;1;3;5;1;4;4;1;4;1;3;3;4;2;5;4;2;4;3;4;2;1;5;4;4;2;4;2;3;4;3;4;4;3;3;4;2;2;4;2;5;4;4;5;1;2;1;4;1;5;1;1;4;1;5;4;2;4;5;4;1;4;4;5;5;1;4;5;2;1;5;2;5;2;2;3;2;2;2;4;2;3;4;3;2;2;4;4;2;2;3;4;1;4;5;1;4;2;2;4;2;3;4;4;3;4;2;3;4;2;5;3;4;3;4;2;1;1;1;1;2;2;"33";1;1;2;1;1;1;2;1;1;1;2;1;2;1;2;24;32;12;155;89;118;107;92;84;77;86;134;143;74;89;135;105;1412;;2024-01-07 14:29:33;1;0;17;17;0;0;0,75
77;;;"VM";"interview";2024-01-07 14:52:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;2;2;"55";1;;;;;;;;;;;;;;;27;45;166965;;;;;;;;;;;;;;;85;;2024-01-09 13:15:59;0;0;3;3;0;0;0,4
80;;;"VM";"interview";2024-01-07 16:34:34;5;1;2;3;2;2;2;5;2;3;1;4;4;5;2;5;4;4;2;4;4;4;4;2;2;4;2;2;4;5;1;5;4;1;5;3;5;5;1;4;5;5;1;5;1;2;4;2;4;4;2;3;5;1;1;5;2;4;2;2;5;3;1;3;5;1;3;2;3;2;2;4;3;3;3;3;3;4;2;3;3;2;3;2;3;3;3;2;2;4;5;1;4;4;5;2;4;1;3;5;1;1;2;3;4;1;5;3;1;4;2;3;4;3;4;5;4;3;2;2;4;2;3;3;4;4;2;2;4;2;2;3;3;3;4;2;4;4;4;4;4;2;3;2;4;2;4;4;3;2;4;3;2;3;3;2;4;2;3;4;3;3;4;2;3;3;2;4;3;3;4;2;3;3;2;3;3;1;2;1;1;1;1;3;5;1;1;5;1;5;1;1;5;4;1;2;5;1;4;1;2;4;1;2;2;4;2;4;2;2;3;3;3;3;2;4;3;3;4;5;3;2;4;2;2;3;3;2;4;2;4;4;2;4;4;2;4;2;3;2;2;2;4;4;2;2;2;1;4;3;2;4;5;2;5;4;5;5;1;4;5;4;1;3;2;2;4;1;2;4;2;1;5;1;4;5;1;5;4;1;5;1;2;1;5;1;4;3;2;2;2;1;4;4;2;4;5;1;4;3;3;4;1;4;4;3;3;5;3;1;1;1;1;2;1;"35";1;1;2;1;1;2;2;2;2;1;2;1;2;1;2;14;17;1;135;84;127;75;97;97;158;66;80;74;297;78;62;112;1186;;2024-01-07 17:00:48;1;0;17;17;0;0;0,99
82;;;"VM";"interview";2024-01-07 16:56:57;4;2;2;3;2;3;2;4;1;2;2;4;3;5;1;4;4;4;2;4;4;3;5;2;2;4;2;2;3;4;2;4;4;2;4;3;4;2;2;4;4;3;3;4;3;2;4;2;2;3;2;3;2;2;2;4;2;4;2;4;4;2;2;2;4;2;3;2;2;3;1;2;2;3;2;3;3;2;2;4;3;3;4;3;2;2;4;2;3;4;4;2;3;4;4;3;3;2;4;3;2;3;2;1;4;2;3;1;3;3;3;4;3;3;3;3;3;3;3;2;4;3;2;3;2;1;3;1;4;3;2;4;4;3;2;1;2;3;3;3;3;2;3;4;2;4;3;2;4;2;3;4;2;3;5;1;2;3;2;2;3;4;2;4;3;2;3;4;3;3;2;3;3;3;3;3;3;2;3;2;1;1;2;4;2;2;2;4;2;4;2;2;4;4;2;4;4;2;5;2;1;5;1;1;3;4;3;5;4;2;5;3;4;4;2;3;5;4;3;4;2;3;4;2;4;4;2;3;4;2;3;4;2;4;2;3;4;1;3;2;2;2;5;2;1;4;1;3;4;3;3;4;4;2;4;3;4;4;2;4;4;3;2;4;4;2;3;2;3;4;3;2;4;2;5;4;2;4;3;2;4;2;4;2;2;3;5;3;1;4;1;4;3;2;4;5;5;1;5;3;5;4;1;3;5;4;1;5;2;1;1;1;1;2;2;"33";1;1;2;1;1;1;1;1;2;1;2;1;2;1;2;7;23;1292;91;65;83;69;77;64;61;87;89;79;59;75;56;64;1062;;2024-01-07 17:35:58;1;0;17;17;0;0;1,04
86;;;"VM";"interview";2024-01-07 21:59:01;3;2;2;4;2;2;2;4;2;3;2;4;3;4;2;2;3;5;2;3;4;3;4;2;2;4;1;3;3;4;3;4;4;2;3;4;5;2;2;3;4;4;3;4;2;1;2;4;2;3;2;3;2;2;2;5;2;5;2;2;4;4;2;4;4;2;3;2;2;4;1;3;3;4;3;4;5;2;4;4;5;4;2;3;4;3;2;5;2;4;4;3;5;3;2;3;5;3;2;4;1;3;2;2;4;4;1;3;4;2;3;4;2;4;1;3;2;3;3;4;4;2;3;3;4;3;3;3;2;3;3;3;3;2;2;3;2;2;2;4;3;3;2;4;2;4;2;3;5;4;2;3;4;2;4;2;1;4;1;1;2;4;2;5;2;4;4;4;4;2;2;4;2;4;4;4;2;2;2;3;3;2;2;4;2;2;2;4;3;4;3;3;4;4;2;4;4;2;5;2;1;5;1;2;3;4;3;5;4;2;5;4;5;3;1;4;4;3;3;5;3;2;5;4;3;4;3;3;4;3;3;3;3;4;4;4;3;1;3;2;3;4;5;5;1;3;2;1;3;3;3;5;4;2;4;4;5;3;1;4;5;2;2;5;3;5;3;1;4;3;4;2;4;2;4;3;2;2;4;1;5;3;3;2;2;4;5;4;1;4;1;2;2;4;2;5;4;1;5;3;5;3;1;4;4;4;3;5;2;1;1;2;1;1;2;"31";1;1;2;1;2;1;1;1;2;1;2;1;2;1;2;33;31;37;127;64;74;83;70;64;65;63;96;64;56;62;54;56;1099;;2024-01-07 22:17:20;1;0;17;17;0;0;0,98
